City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Tarakan,ID,81.05,overcast clouds,3.3,117.6333,Hotel Dynasty
4,Vaini,TO,77.16,moderate rain,-21.2,-175.2,Keleti International Resort
6,Rikitea,PF,78.55,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
9,Hithadhoo,MV,81.9,scattered clouds,-0.6,73.0833,Pebbles Inn
10,Cape Town,ZA,80.11,few clouds,-33.9258,18.4232,Townhouse Hotel
23,Bredasdorp,ZA,72.07,few clouds,-34.5322,20.0403,Victoria Hotel
28,Ballina,AU,77.77,scattered clouds,-28.8667,153.5667,Ballina Beach Resort
30,Pisco,PE,71.65,overcast clouds,-13.7,-76.2167,La Portada
41,Durban,ZA,72.01,light rain,-29.8579,31.0292,Tudor
42,Kapaa,US,73.72,light rain,22.0752,-159.319,Pono Kai Resort
52,Cap Malheureux,MU,86.47,overcast clouds,-19.9842,57.6142,Cape Garden
53,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Page 63 hostel
55,Puerto Ayora,EC,72.55,overcast clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
58,Gold Coast,AU,80.01,scattered clouds,-28.0,153.4333,The Sands Apartments
59,Atuona,PF,78.69,scattered clouds,-9.8,-139.0333,Pearl Resort
60,Hermanus,ZA,71.8,clear sky,-34.4187,19.2345,Aloe guest house
65,Bengkulu,ID,80.22,overcast clouds,-3.8004,102.2655,Dena Hotel
74,Mae Hong Son,TH,90.73,clear sky,19.3003,97.9685,The Like View
76,Caravelas,BR,78.66,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
77,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
79,Saint-Philippe,RE,87.39,light rain,-21.3585,55.7679,Le Baril
81,Pontianak,ID,82.38,scattered clouds,-0.0333,109.3333,Golden Tulip Hotel
83,Patos,BR,75.61,broken clouds,-7.0244,-37.28,Hotel Zurique
84,Sinnamary,GF,75.0,broken clouds,5.3833,-52.95,Hôtel du fleuve
98,Port Elizabeth,ZA,70.32,broken clouds,-33.918,25.5701,Waterford Hotel
99,Acapulco,MX,75.02,clear sky,16.8634,-99.8901,Hotel del Valle
102,Hilo,US,70.29,clear sky,19.7297,-155.09,Dolphin Bay Hotel
105,Faanui,PF,80.56,few clouds,-16.4833,-151.75,Oa Oa Lodge
107,Dhangadhi,NP,76.66,clear sky,28.7079,80.5961,Hotel Bikas
111,Kathmandu,NP,70.02,few clouds,27.7167,85.3167,Aryatara Kathmandu Hotel
113,Cidreira,BR,74.89,broken clouds,-30.1811,-50.2056,Hotel Castelo
114,Kavieng,PG,82.62,scattered clouds,-2.5744,150.7967,Kavieng Hotel
116,Mananara,MG,92.35,clear sky,-16.1667,49.7667,Chez Roger
118,Mutata,CO,72.32,broken clouds,7.2441,-76.4356,Hotel Zulima
119,Rocha,UY,71.55,overcast clouds,-34.4833,-54.3333,Hotel Municipal
120,Mahebourg,MU,86.25,light rain,-20.4081,57.7,Grand Bel Air
121,Bom Jesus,BR,72.59,scattered clouds,-9.0744,-44.3586,Hotel Brasão
130,Salalah,OM,77.09,clear sky,17.0151,54.0924,Muscat International Hotel
132,Souillac,MU,83.16,light rain,-20.5167,57.5167,Hotel SkylineInn
134,Kpandu,GH,84.33,broken clouds,6.9954,0.2931,Catherine’s Lodge
145,Balaka,MW,79.14,overcast clouds,-14.9793,34.9558,Zembani Lodge
146,Loandjili,CG,84.09,broken clouds,-4.7561,11.8578,Le Raphia Guest House
151,Puerto Escondido,MX,74.88,clear sky,15.85,-97.0667,Hotel Barlovento
156,Puerto Colombia,CO,75.29,clear sky,10.9878,-74.9547,Hotel Puerto Colombia
158,Bathsheba,BB,72.21,few clouds,13.2167,-59.5167,Atlantis Hotel
160,Inhambane,MZ,89.55,few clouds,-23.865,35.3833,Hotel de Inhambane
168,Pemangkat,ID,78.26,overcast clouds,1.1667,108.9667,Hotel Kelapa Gading
169,Rondonopolis,BR,70.48,broken clouds,-16.4708,-54.6356,Hotel Sumaré
171,Cockburn Town,TC,76.89,clear sky,21.4612,-71.1419,The Salt Raker Inn
179,Geraldton,AU,90.01,overcast clouds,-28.7667,114.6,Ocean Centre Hotel
186,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Fidji Motel
189,Alegrete,BR,74.79,scattered clouds,-29.7831,-55.7919,Expresso Hotel
191,Makakilo City,US,71.92,light intensity drizzle,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
199,Beira,MZ,91.22,few clouds,-19.8436,34.8389,Hotel Savoy
203,Kitgum,UG,95.97,few clouds,3.2783,32.8867,Cactus Hillside Hotel
222,Quatre Cocos,MU,86.09,light rain,-20.2078,57.7625,Horisun
223,Cayenne,GF,73.44,broken clouds,4.9333,-52.3333,Central Hôtel
226,Sao Felix Do Xingu,BR,70.75,light rain,-6.6447,-51.995,Hotel Terraço
233,Namibe,AO,80.08,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
240,Abeche,TD,97.59,broken clouds,13.8292,20.8324,فندق قيصر
241,Sur,OM,70.47,clear sky,22.5667,59.5289,Sur Hotel
243,Dwarka,IN,71.55,clear sky,22.2394,68.9678,The Dwarika Hotel
247,Mapastepec,MX,70.57,clear sky,15.4333,-92.9,Hotel San Diego
265,Bubaque,GW,76.01,broken clouds,11.2833,-15.8333,Chez Julio
272,Touros,BR,80.49,scattered clouds,-5.1989,-35.4608,Pousada Atlântico
281,Chuy,UY,72.5,broken clouds,-33.6971,-53.4616,Alerces
284,Praia,CV,70.72,scattered clouds,14.9215,-23.5087,Casa Sodadi
286,Vanimo,PG,80.04,overcast clouds,-2.6741,141.3028,CBC Guesthouse
289,Ambovombe,MG,88.02,broken clouds,-25.1667,46.0833,La source
291,Baracoa,CU,74.5,light rain,20.3467,-74.4958,Casa
293,Sabang,ID,80.2,light rain,5.8933,95.3214,Sabang Hill
296,Kuching,MY,84.02,heavy intensity rain,1.55,110.3333,Hotel Samudera
302,Emerald,AU,80.35,scattered clouds,-23.5333,148.1667,Emerald Central Hotel
306,Zeerust,ZA,91.6,broken clouds,-25.5369,26.0751,At Rest Guesthouse
311,Montepuez,MZ,81.32,broken clouds,-13.1256,38.9997,Complexo Messalo
312,Kununurra,AU,93.18,light rain,-15.7667,128.7333,Kununurra Country Club Resort
316,Santa Cruz,BO,73.45,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
318,Yulara,AU,81.03,broken clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
323,Chiang Mai,TH,83.05,few clouds,18.75,99.0,Wiang Kum Kam Resort
325,Port Blair,IN,81.81,scattered clouds,11.6667,92.75,Andaman Ocean Breeze
332,Mitsamiouli,KM,82.74,overcast clouds,-11.3847,43.2844,Hotel le Paradis
335,Rawson,AR,71.67,clear sky,-43.3002,-65.1023,Hotel Deportivo
340,Marica,BR,76.95,overcast clouds,-22.9194,-42.8186,Pousada Vila Flor
349,San Andres,CO,78.82,broken clouds,12.5847,-81.7006,Hotel Decameron Isleño
350,Isla Mujeres,MX,73.45,clear sky,21.2311,-86.731,Villa La Bella
352,Bariadi,TZ,86.4,clear sky,-2.8,33.9833,MG Lodge
355,Jacareacanga,BR,70.27,overcast clouds,-6.2222,-57.7528,Hotel São Cristovão
359,Miramar,US,75.0,few clouds,25.9873,-80.2323,El Palacio Sports Hotel
360,Lakes Entrance,AU,70.16,moderate rain,-37.8811,147.981,Banjo Patterson Motor Inn
363,Mbandaka,CD,89.69,overcast clouds,0.0487,18.2603,Hôtel Epervier
369,Bodden Town,KY,77.94,clear sky,19.2833,-81.25,Turtle Nest Inn
374,Port-Gentil,GA,85.96,scattered clouds,-0.7193,8.7815,Tara-Mé
380,Vaitape,PF,80.6,few clouds,-16.5167,-151.75,Oa Oa Lodge
392,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
395,Garowe,SO,85.87,broken clouds,8.4054,48.4845,Red Sea
398,Karratha,AU,88.77,broken clouds,-20.7377,116.8463,Karratha International Hotel
407,Grand-Lahou,CI,83.16,overcast clouds,5.1367,-5.0242,Cap Lahou
408,Namatanai,PG,81.3,scattered clouds,-3.6667,152.4333,Namatanai Hotel
410,Miri,MY,80.4,heavy intensity rain,4.4148,114.0089,Kenyalang Suites Miri
