City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,San Nicolas,PH,18.1725,120.5953,79.79,58,41,15.37,scattered clouds
1,Salalah,OM,17.0151,54.0924,69.89,35,0,12.66,clear sky
2,Albany,US,42.6001,-73.9662,41.27,78,100,5.77,overcast clouds
3,Copiapo,CL,-27.3667,-70.3333,56.89,75,2,2.57,clear sky
4,Mataura,NZ,-46.1927,168.8643,72.48,60,100,5.17,overcast clouds
5,Ayan,RU,56.45,138.1667,-5.84,64,97,13.96,overcast clouds
6,Chokurdakh,RU,70.6333,147.9167,-22.7,97,100,7.96,overcast clouds
7,Cape Town,ZA,-33.9258,18.4232,68.38,60,81,14.0,broken clouds
8,Lompoc,US,34.6391,-120.4579,48.02,81,81,5.99,broken clouds
9,Cubuk,TR,40.2386,33.0322,30.76,69,75,1.14,broken clouds
10,Ushuaia,AR,-54.8,-68.3,40.37,96,83,5.17,broken clouds
11,Portland,US,45.5234,-122.6762,31.98,44,0,12.66,clear sky
12,Punta Arenas,CL,-53.15,-70.9167,48.31,81,75,12.66,broken clouds
13,Chapleau,CA,47.8405,-83.4034,-2.78,100,100,2.13,overcast clouds
14,Longyearbyen,SJ,78.2186,15.6401,22.84,63,75,28.77,light snow
15,Bluff,NZ,-46.6,168.3333,61.02,84,100,8.7,overcast clouds
16,Cidreira,BR,-30.1811,-50.2056,70.72,90,2,1.72,clear sky
17,Butaritari,KI,3.0707,172.7902,81.09,79,12,20.15,few clouds
18,Sitka,US,57.0531,-135.33,35.49,80,75,0.0,broken clouds
19,Mandalgovi,MN,45.7625,106.2708,22.06,40,0,14.76,clear sky
20,Rikitea,PF,-23.1203,-134.9692,79.63,68,17,9.91,few clouds
21,Havelock,US,34.8791,-76.9013,60.78,91,100,5.75,moderate rain
22,Kumbo,CM,6.2,10.6667,61.2,71,17,4.52,few clouds
23,Nanortalik,GL,60.1432,-45.2371,24.26,84,100,7.09,overcast clouds
24,Saint-Philippe,RE,-21.3585,55.7679,85.59,75,100,1.39,overcast clouds
25,Luderitz,NA,-26.6481,15.1594,58.37,88,0,7.14,clear sky
26,Souillac,MU,-20.5167,57.5167,82.29,69,97,1.21,overcast clouds
27,Vaini,TO,-21.2,-175.2,84.36,84,40,8.05,scattered clouds
28,Bukachacha,RU,52.9833,116.9167,5.59,85,96,3.67,overcast clouds
29,Hobart,AU,-42.8794,147.3294,78.26,50,20,17.27,few clouds
30,Nkowakowa,ZA,-23.8878,30.2871,65.86,90,99,1.86,light rain
31,Sistranda,NO,63.7256,8.834,40.96,80,97,42.99,overcast clouds
32,Talnakh,RU,69.4865,88.3972,-5.94,98,98,4.32,overcast clouds
33,Mayo,US,38.8876,-76.5119,46.35,85,0,3.44,clear sky
34,Vestmannaeyjar,IS,63.4427,-20.2734,30.78,75,69,9.91,broken clouds
35,Avarua,CK,-21.2078,-159.775,73.45,94,100,6.91,moderate rain
36,Codrington,AU,-38.2667,141.9667,66.85,54,100,11.68,overcast clouds
37,Busselton,AU,-33.65,115.3333,88.38,36,19,6.22,few clouds
38,Saskylakh,RU,71.9167,114.0833,-43.19,99,68,4.99,broken clouds
39,Srednekolymsk,RU,67.45,153.6833,-9.22,97,100,9.33,overcast clouds
40,Tiksi,RU,71.6872,128.8694,-35.82,97,63,4.25,broken clouds
41,Kyren,RU,51.6828,102.1408,21.56,72,100,1.16,overcast clouds
42,Ribeira Grande,PT,38.5167,-28.7,55.78,82,49,5.01,light rain
43,Evensk,RU,61.95,159.2333,25.74,86,99,36.62,overcast clouds
44,Taywarah,AF,33.35,64.4167,16.5,86,82,4.05,broken clouds
45,Am Timan,TD,11.0297,20.2827,75.15,19,81,4.74,broken clouds
46,Provideniya,RU,64.3833,-173.3,26.91,97,100,13.89,snow
47,Zlitan,LY,32.4674,14.5687,51.03,65,2,18.19,clear sky
48,Ponta Do Sol,PT,32.6667,-17.1,57.83,62,39,5.59,scattered clouds
49,Half Moon Bay,US,37.4636,-122.4286,49.3,81,100,9.22,overcast clouds
50,Porbandar,IN,21.6422,69.6093,69.78,48,0,11.36,clear sky
51,Hithadhoo,MV,-0.6,73.0833,81.27,74,100,7.16,light rain
52,Hun,LY,29.1268,15.9477,42.42,41,0,1.9,clear sky
53,Mount Isa,AU,-20.7333,139.5,78.57,100,100,0.0,light intensity shower rain
54,Sao Filipe,CV,14.8961,-24.4956,69.73,70,77,12.39,broken clouds
55,Bowen,AU,-20.0167,148.2333,82.56,68,99,11.27,overcast clouds
56,Barrow,US,71.2906,-156.7887,-0.38,78,100,14.97,mist
57,Atuona,PF,-9.8,-139.0333,78.85,79,14,18.97,light rain
58,Matara,LK,5.9485,80.5353,82.81,58,83,2.37,broken clouds
59,Tuktoyaktuk,CA,69.4541,-133.0374,-11.52,95,100,5.93,overcast clouds
60,Tasiilaq,GL,65.6145,-37.6368,17.76,94,100,8.68,light snow
61,Aksarka,RU,66.5606,67.7975,2.77,97,100,6.67,overcast clouds
62,Hermanus,ZA,-34.4187,19.2345,64.8,72,94,18.19,overcast clouds
63,Kavieng,PG,-2.5744,150.7967,85.44,66,63,9.73,broken clouds
64,Yuncheng,CN,35.0231,110.9928,48.83,15,0,3.94,clear sky
65,Raudeberg,NO,61.9875,5.1352,38.07,64,100,36.19,light rain
66,Jamestown,US,42.097,-79.2353,30.02,100,100,10.36,mist
67,Santa Rita,BR,-7.1139,-34.9781,77.67,83,20,4.61,few clouds
68,Mujiayingzi,CN,42.1167,118.7833,32.27,37,33,9.66,scattered clouds
