City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kavieng,PG,2023-01-29 08:23:53,-2.5744,150.7967,83.01,76,31,8.57
1,Castro,BR,2023-01-29 08:23:53,-24.7911,-50.0119,61.11,81,100,0.96
2,Shetpe,KZ,2023-01-29 08:24:04,44.1667,52.1167,34.21,37,0,12.93
3,Sioux Lookout,CA,2023-01-29 08:24:06,50.1001,-91.917,-21.93,83,20,3.44
4,Yellowknife,CA,2023-01-29 08:24:07,62.456,-114.3525,-17.45,76,20,3.44
5,Mataura,NZ,2023-01-29 08:24:08,-46.1927,168.8643,60.49,56,0,2.53
6,Ushuaia,AR,2023-01-29 08:21:35,-54.8,-68.3,49.66,66,20,16.11
7,Saldanha,ZA,2023-01-29 08:24:10,-33.0117,17.9442,78.85,50,54,8.63
8,Lavrentiya,RU,2023-01-29 08:24:11,65.5833,-171.0,21.36,95,100,1.28
9,Iqaluit,CA,2023-01-29 08:24:12,63.7506,-68.5145,-34.87,74,0,3.44
10,Plouzane,FR,2023-01-29 08:24:12,48.3833,-4.6167,39.52,81,100,5.75
11,Dandong,CN,2023-01-29 08:24:13,40.1292,124.3947,25.59,67,3,5.3
12,Mount Gambier,AU,2023-01-29 08:22:45,-37.8333,140.7667,65.32,59,9,10.54
13,Ternate,ID,2023-01-29 08:24:15,0.8,127.4,81.43,78,99,3.6
14,Kodiak,US,2023-01-29 08:20:52,57.79,-152.4072,31.51,100,100,0.0
15,La Ronge,CA,2023-01-29 08:24:17,55.1001,-105.2842,-16.35,58,20,9.22
16,Raudeberg,NO,2023-01-29 08:24:20,61.9875,5.1352,45.86,1,100,27.4
17,Mareeba,AU,2023-01-29 08:24:21,-17.0,145.4333,81.45,83,100,6.17
18,Punta Arenas,CL,2023-01-29 08:24:22,-53.15,-70.9167,50.11,76,40,14.97
19,Nemuro,JP,2023-01-29 08:24:23,43.3236,145.575,22.1,59,5,16.96
20,Albany,US,2023-01-29 08:24:25,42.6001,-73.9662,28.04,85,74,1.43
21,Georgetown,MY,2023-01-29 08:24:26,5.4112,100.3354,87.73,62,20,9.22
22,Deputatskiy,RU,2023-01-29 08:24:27,69.3,139.9,-39.86,98,51,4.61
23,Hilo,US,2023-01-29 08:23:45,19.7297,-155.09,70.25,82,40,3.44
24,Avarua,CK,2023-01-29 08:24:29,-21.2078,-159.775,78.85,83,40,5.75
25,Atuona,PF,2023-01-29 08:24:29,-9.8,-139.0333,78.58,79,50,18.32
26,Puerto Ayora,EC,2023-01-29 08:24:31,-0.7393,-90.3518,74.55,99,99,2.95
27,Gardner,US,2023-01-29 08:24:31,42.5751,-71.9981,31.33,82,100,3.44
28,Nabire,ID,2023-01-29 08:24:32,-3.3667,135.4833,82.09,82,100,2.51
29,Rikitea,PF,2023-01-29 08:24:33,-23.1203,-134.9692,78.82,68,100,12.46
30,Margate,GB,2023-01-29 08:24:34,51.3813,1.3862,39.9,84,100,3.0
31,Gizo,SB,2023-01-29 08:24:35,-8.103,156.8419,82.94,75,100,2.64
32,Ponta Do Sol,PT,2023-01-29 08:24:36,32.6667,-17.1,57.83,75,31,9.19
33,Rio Viejo,CO,2023-01-29 08:24:37,8.5874,-73.839,71.42,70,72,0.94
34,Dikson,RU,2023-01-29 08:24:38,73.5069,80.5464,-18.65,98,84,8.34
35,Marsa Matruh,EG,2023-01-29 08:24:39,31.3525,27.2453,62.1,53,100,7.38
36,Saskylakh,RU,2023-01-29 08:24:40,71.9167,114.0833,-39.5,100,97,2.73
37,Mayo,US,2023-01-29 08:21:48,38.8876,-76.5119,46.26,73,0,6.91
38,Pemangkat,ID,2023-01-29 08:24:41,1.1667,108.9667,80.33,84,100,7.45
39,Carnarvon,AU,2023-01-29 08:24:43,-24.8667,113.6333,78.21,70,8,15.61
40,Parainen,FI,2023-01-29 08:24:45,60.3067,22.301,34.9,83,100,10.54
41,Faanui,PF,2023-01-29 08:24:46,-16.4833,-151.75,81.01,76,14,14.56
42,Norwich,GB,2023-01-29 08:22:56,52.6278,1.2983,41.36,93,75,9.22
43,Qaanaaq,GL,2023-01-29 08:24:47,77.484,-69.3632,-0.4,69,100,3.89
44,Salalah,OM,2023-01-29 08:24:48,17.0151,54.0924,71.69,30,0,26.46
45,Emerald,AU,2023-01-29 08:24:49,-23.5333,148.1667,87.35,45,6,7.34
46,Hobart,AU,2023-01-29 08:25:50,-42.8794,147.3294,66.06,65,20,19.57
47,Palana,RU,2023-01-29 08:25:52,59.1167,159.9667,27.07,72,100,25.26
48,Naze,JP,2023-01-29 08:22:31,28.3667,129.4833,52.72,62,99,13.18
49,San Patricio,US,2023-01-29 08:25:55,28.017,-97.5169,69.89,96,100,8.05
50,Puerto Leguizamo,CO,2023-01-29 08:25:56,-0.1934,-74.7819,67.39,72,12,1.12
51,East London,ZA,2023-01-29 08:25:56,-33.0153,27.9116,67.14,72,0,5.75
52,Thompson,CA,2023-01-29 08:25:58,55.7435,-97.8558,-23.64,69,0,6.91
53,Tuktoyaktuk,CA,2023-01-29 08:25:59,69.4541,-133.0374,1.4,95,100,11.9
